dataset,type,term,count
TIIF-Bench,relation,stand,220
TIIF-Bench,relation,sit,218
TIIF-Bench,relation,hide,122
TIIF-Bench,relation,feature,109
TIIF-Bench,relation,wear,99
TIIF-Bench,relation,position,88
TIIF-Bench,relation,near,77
TIIF-Bench,relation,create,74
TIIF-Bench,relation,hold,71
TIIF-Bench,relation,rest,66
TIIF-Bench,relation,lie,47
TIIF-Bench,relation,play,46
TIIF-Bench,relation,hang,43
TIIF-Bench,relation,appear,39
TIIF-Bench,relation,include,36
TIIF-Bench,relation,display,35
TIIF-Bench,relation,float,35
TIIF-Bench,relation,surround,31
TIIF-Bench,relation,fill,31
TIIF-Bench,relation,highlight,30
TIIF-Bench,relation,showcase,28
TIIF-Bench,relation,beneath,27
TIIF-Bench,relation,fly,27
TIIF-Bench,relation,leave,26
TIIF-Bench,relation,look,26
TIIF-Bench,relation,cast,26
TIIF-Bench,relation,remain,26
TIIF-Bench,relation,contrast,24
TIIF-Bench,relation,like,23
TIIF-Bench,relation,place,22
TIIF-Bench,relation,arrange,22
TIIF-Bench,relation,perch,22
TIIF-Bench,relation,emphasize,22
TIIF-Bench,relation,show,22
TIIF-Bench,relation,set,22
TIIF-Bench,relation,depict,21
TIIF-Bench,relation,reflect,21
TIIF-Bench,relation,cover,21
TIIF-Bench,relation,smile,21
TIIF-Bench,relation,obscure,20
TIIF-Bench,relation,gleam,20
TIIF-Bench,relation,glow,20
TIIF-Bench,relation,paint,19
TIIF-Bench,relation,rise,19
TIIF-Bench,relation,adorn,19
TIIF-Bench,relation,eat,18
TIIF-Bench,relation,lack,18
TIIF-Bench,relation,draw,18
TIIF-Bench,relation,light,18
TIIF-Bench,relation,dress,17
TIIF-Bench (long),relation,stand,848
TIIF-Bench (long),relation,cast,769
TIIF-Bench (long),relation,create,694
TIIF-Bench (long),relation,like,471
TIIF-Bench (long),relation,feature,398
TIIF-Bench (long),relation,beneath,392
TIIF-Bench (long),relation,rest,355
TIIF-Bench (long),relation,glow,319
TIIF-Bench (long),relation,render,316
TIIF-Bench (long),relation,reflect,309
TIIF-Bench (long),relation,amidst,282
TIIF-Bench (long),relation,position,281
TIIF-Bench (long),relation,gleam,280
TIIF-Bench (long),relation,add,269
TIIF-Bench (long),relation,sit,268
TIIF-Bench (long),relation,contrast,263
TIIF-Bench (long),relation,catch,253
TIIF-Bench (long),relation,appear,229
TIIF-Bench (long),relation,invite,226
TIIF-Bench (long),relation,lie,225
TIIF-Bench (long),relation,texture,222
TIIF-Bench (long),relation,emphasize,221
TIIF-Bench (long),relation,mute,215
TIIF-Bench (long),relation,enhance,214
TIIF-Bench (long),relation,shimmer,202
TIIF-Bench (long),relation,arrange,198
TIIF-Bench (long),relation,adorn,197
TIIF-Bench (long),relation,near,189
TIIF-Bench (long),relation,dance,189
TIIF-Bench (long),relation,scatter,186
TIIF-Bench (long),relation,capture,182
TIIF-Bench (long),relation,maintain,180
TIIF-Bench (long),relation,illuminate,178
TIIF-Bench (long),relation,light,171
TIIF-Bench (long),relation,float,170
TIIF-Bench (long),relation,wear,165
TIIF-Bench (long),relation,suggest,165
TIIF-Bench (long),relation,balance,161
TIIF-Bench (long),relation,exude,160
TIIF-Bench (long),relation,evoke,159
TIIF-Bench (long),relation,craft,155
TIIF-Bench (long),relation,bath,154
TIIF-Bench (long),relation,blend,154
TIIF-Bench (long),relation,tower,153
TIIF-Bench (long),relation,surround,152
TIIF-Bench (long),relation,unfold,152
TIIF-Bench (long),relation,display,141
TIIF-Bench (long),relation,weather,138
TIIF-Bench (long),relation,set,138
TIIF-Bench (long),relation,stretch,138
DPGBench,relation,stand,292
DPGBench,relation,create,195
DPGBench,relation,feature,178
DPGBench,relation,cast,174
DPGBench,relation,reflect,139
DPGBench,relation,surround,139
DPGBench,relation,contrast,138
DPGBench,relation,sit,133
DPGBench,relation,capture,127
DPGBench,relation,add,118
DPGBench,relation,rest,118
DPGBench,relation,position,113
DPGBench,relation,set,100
DPGBench,relation,adorn,92
DPGBench,relation,scatter,88
DPGBench,relation,highlight,82
DPGBench,relation,showcase,81
DPGBench,relation,depict,81
DPGBench,relation,appear,80
DPGBench,relation,fill,80
DPGBench,relation,suggest,79
DPGBench,relation,arrange,74
DPGBench,relation,provide,74
DPGBench,relation,see,72
DPGBench,relation,lie,68
DPGBench,relation,hold,68
DPGBench,relation,wear,62
DPGBench,relation,place,60
DPGBench,relation,hint,58
DPGBench,relation,illuminate,57
DPGBench,relation,amidst,57
DPGBench,relation,display,55
DPGBench,relation,give,53
DPGBench,relation,dress,51
DPGBench,relation,indicate,49
DPGBench,relation,extend,48
DPGBench,relation,accentuate,48
DPGBench,relation,atop,46
DPGBench,relation,paint,46
DPGBench,relation,stretch,46
DPGBench,relation,color,44
DPGBench,relation,tower,43
DPGBench,relation,catch,41
DPGBench,relation,beneath,41
DPGBench,relation,line,40
DPGBench,relation,hang,39
DPGBench,relation,enhance,38
DPGBench,relation,weather,38
DPGBench,relation,dot,36
DPGBench,relation,craft,36
T2I-CompBench++,relation,hide,115
T2I-CompBench++,relation,hold,73
T2I-CompBench++,relation,play,51
T2I-CompBench++,relation,near,38
T2I-CompBench++,relation,sit,29
T2I-CompBench++,relation,contrast,19
T2I-CompBench++,relation,look,19
T2I-CompBench++,relation,hang,14
T2I-CompBench++,relation,create,14
T2I-CompBench++,relation,walk,14
T2I-CompBench++,relation,lie,13
T2I-CompBench++,relation,stand,12
T2I-CompBench++,relation,float,12
T2I-CompBench++,relation,nestle,12
T2I-CompBench++,relation,provide,11
T2I-CompBench++,relation,wear,11
T2I-CompBench++,relation,run,10
T2I-CompBench++,relation,practice,10
T2I-CompBench++,relation,perform,10
T2I-CompBench++,relation,jump,10
T2I-CompBench++,relation,cover,9
T2I-CompBench++,relation,make,9
T2I-CompBench++,relation,take,9
T2I-CompBench++,relation,flow,7
T2I-CompBench++,relation,enjoy,7
T2I-CompBench++,relation,watch,7
T2I-CompBench++,relation,rise,6
T2I-CompBench++,relation,park,6
T2I-CompBench++,relation,read,6
T2I-CompBench++,relation,rest,6
T2I-CompBench++,relation,past,6
T2I-CompBench++,relation,fly,6
T2I-CompBench++,relation,melt,6
T2I-CompBench++,relation,cook,6
T2I-CompBench++,relation,feel,6
T2I-CompBench++,relation,wag,6
T2I-CompBench++,relation,shine,5
T2I-CompBench++,relation,write,5
T2I-CompBench++,relation,drape,5
T2I-CompBench++,relation,glide,5
T2I-CompBench++,relation,illuminate,5
T2I-CompBench++,relation,speak,5
T2I-CompBench++,relation,try,5
T2I-CompBench++,relation,have,5
T2I-CompBench++,relation,chase,5
T2I-CompBench++,relation,mix,5
T2I-CompBench++,relation,display,5
T2I-CompBench++,relation,feature,4
T2I-CompBench++,relation,tick,4
T2I-CompBench++,relation,leave,4
GenAI-Bench,relation,stand,71
GenAI-Bench,relation,sit,68
GenAI-Bench,relation,wear,66
GenAI-Bench,relation,hold,46
GenAI-Bench,relation,play,40
GenAI-Bench,relation,look,40
GenAI-Bench,relation,fill,29
GenAI-Bench,relation,fly,27
GenAI-Bench,relation,hang,26
GenAI-Bench,relation,rest,24
GenAI-Bench,relation,lie,22
GenAI-Bench,relation,watch,18
GenAI-Bench,relation,perch,17
GenAI-Bench,relation,float,17
GenAI-Bench,relation,paint,17
GenAI-Bench,relation,cover,17
GenAI-Bench,relation,bloom,17
GenAI-Bench,relation,run,17
GenAI-Bench,relation,light,16
GenAI-Bench,relation,cast,15
GenAI-Bench,relation,park,15
GenAI-Bench,relation,chase,14
GenAI-Bench,relation,display,14
GenAI-Bench,relation,write,13
GenAI-Bench,relation,adorn,13
GenAI-Bench,relation,surround,13
GenAI-Bench,relation,rise,13
GenAI-Bench,relation,read,12
GenAI-Bench,relation,contain,12
GenAI-Bench,relation,lean,11
GenAI-Bench,relation,set,11
GenAI-Bench,relation,jump,11
GenAI-Bench,relation,walk,11
GenAI-Bench,relation,soar,10
GenAI-Bench,relation,glow,10
GenAI-Bench,relation,line,10
GenAI-Bench,relation,illuminate,10
GenAI-Bench,relation,smile,10
GenAI-Bench,relation,near,9
GenAI-Bench,relation,drape,9
GenAI-Bench,relation,sleep,9
GenAI-Bench,relation,shape,8
GenAI-Bench,relation,steam,8
GenAI-Bench,relation,tower,8
GenAI-Bench,relation,take,8
GenAI-Bench,relation,spread,8
GenAI-Bench,relation,emit,7
GenAI-Bench,relation,reflect,7
GenAI-Bench,relation,perform,7
GenAI-Bench,relation,curl,7
GenEval,relation,leave,16
GenEval,relation,pot,7
GenEval,relation,sign,1
GenEval2,relation,checker,58
GenEval2,relation,spot,42
GenEval2,relation,sparkle,28
GenEval2,relation,chase,28
GenEval2,relation,play,27
GenEval2,relation,jump,27
GenEval2,relation,strip,8
GenEval2,relation,sheep,3
LongT2IBench,relation,stand,690
LongT2IBench,relation,add,686
LongT2IBench,relation,cast,513
LongT2IBench,relation,create,510
LongT2IBench,relation,fill,486
LongT2IBench,relation,see,435
LongT2IBench,relation,capture,421
LongT2IBench,relation,surround,378
LongT2IBench,relation,sit,351
LongT2IBench,relation,reflect,341
LongT2IBench,relation,face,316
LongT2IBench,relation,paint,308
LongT2IBench,relation,near,306
LongT2IBench,relation,wear,306
LongT2IBench,relation,hold,292
LongT2IBench,relation,cover,273
LongT2IBench,relation,adorn,271
LongT2IBench,relation,place,250
LongT2IBench,relation,suggest,249
LongT2IBench,relation,look,244
LongT2IBench,relation,hang,211
LongT2IBench,relation,feature,211
LongT2IBench,relation,play,205
LongT2IBench,relation,appear,191
LongT2IBench,relation,line,190
LongT2IBench,relation,illuminate,190
LongT2IBench,relation,dress,189
LongT2IBench,relation,scatter,180
LongT2IBench,relation,color,170
LongT2IBench,relation,shin,165
LongT2IBench,relation,display,160
LongT2IBench,relation,set,159
LongT2IBench,relation,read,150
LongT2IBench,relation,provide,149
LongT2IBench,relation,extend,143
LongT2IBench,relation,tower,134
LongT2IBench,relation,walk,130
LongT2IBench,relation,give,130
LongT2IBench,relation,contrast,129
LongT2IBench,relation,leave,128
LongT2IBench,relation,run,125
LongT2IBench,relation,offer,125
LongT2IBench,relation,echo,123
LongT2IBench,relation,park,121
LongT2IBench,relation,show,119
LongT2IBench,relation,rest,118
LongT2IBench,relation,depict,116
LongT2IBench,relation,lead,114
LongT2IBench,relation,filter,112
LongT2IBench,relation,attach,109
GECKONUM,relation,show,25
GECKONUM,relation,break,16
GECKONUM,relation,cut,10
GECKONUM,relation,axolotls,3
Ours,relation,sit,462
Ours,relation,rest,374
Ours,relation,stand,299
Ours,relation,feature,288
Ours,relation,hold,237
Ours,relation,wear,203
Ours,relation,near,197
Ours,relation,display,177
Ours,relation,cover,170
Ours,relation,position,145
Ours,relation,mount,118
Ours,relation,inside,118
Ours,relation,include,116
Ours,relation,place,109
Ours,relation,park,98
Ours,relation,lie,96
Ours,relation,line,93
Ours,relation,contain,90
Ours,relation,set,90
Ours,relation,color,87
Ours,relation,surround,86
Ours,relation,hang,81
Ours,relation,strip,78
Ours,relation,adorn,75
Ours,relation,cast,75
Ours,relation,fill,72
Ours,relation,serve,69
Ours,relation,top,64
Ours,relation,arrange,64
Ours,relation,illuminate,64
Ours,relation,attach,62
Ours,relation,capture,56
Ours,relation,create,52
Ours,relation,reflect,50
Ours,relation,accompany,49
Ours,relation,mark,48
Ours,relation,extend,47
Ours,relation,tile,46
Ours,relation,alongside,45
Ours,relation,stretch,44
Ours,relation,suggest,42
Ours,relation,read,40
Ours,relation,show,39
Ours,relation,face,39
Ours,relation,dot,38
Ours,relation,scatter,36
Ours,relation,frame,35
Ours,relation,beneath,34
Ours,relation,light,32
Ours,relation,reveal,31
